,userId,movieId,rating
1032,1995,13528,5
1033,1994,13528,3
1034,1989,13528,4
1035,1987,13528,3
1036,1985,13528,5
1037,1982,13528,3
1038,1981,13528,5
1039,1980,13528,4
1040,1979,13528,4
1041,1978,13528,2
1042,1976,13528,4
1043,1954,13528,4
1044,1951,13528,3
1045,1944,13528,3
1046,1942,13528,4
1047,1938,13528,5
1048,1936,13528,5
1049,1933,13528,4
1050,1932,13528,3
1051,1929,13528,3
1052,1928,13528,5
1053,1921,13528,5
1054,1919,13528,4
1055,1911,13528,5
1056,1907,13528,4
1057,1904,13528,4
1058,1903,13528,4
1059,1902,13528,5
1060,1899,13528,4
1061,1884,13528,5
1062,1882,13528,4
1063,1881,13528,4
1064,1876,13528,5
1065,1873,13528,3
1066,1869,13528,5
1067,1868,13528,3
1068,1867,13528,3
1069,1866,13528,5
1070,1863,13528,5
1071,1855,13528,4
1072,1850,13528,5
1073,1848,13528,1
1074,1846,13528,2
1075,1845,13528,4
1076,1844,13528,4
1077,1842,13528,5
1078,1841,13528,4
1079,1839,13528,4
1080,1837,13528,5
1081,1834,13528,4
1082,1830,13528,4
1083,1825,13528,0
1084,1822,13528,4
1085,1820,13528,5
1086,1819,13528,4
1087,1817,13528,5
1088,1816,13528,5
1089,1814,13528,3
1090,1807,13528,3
1091,1806,13528,5
1092,1803,13528,3
1093,1802,13528,3
1094,1783,13528,5
1095,1780,13528,3
1096,1779,13528,5
1097,1770,13528,4
1098,1769,13528,4
1099,1766,13528,3
1100,1763,13528,5
1101,1761,13528,5
1102,1760,13528,3
1103,1759,13528,2
1104,1757,13528,4
1105,1752,13528,3
1106,1746,13528,4
1107,1743,13528,5
1108,1739,13528,5
1109,1738,13528,3
1110,1731,13528,4
1111,1730,13528,4
1112,1729,13528,4
1113,1726,13528,4
1114,1725,13528,4
1115,1724,13528,4
1116,1723,13528,5
1117,1722,13528,3
1118,1719,13528,0
1119,1718,13528,5
1120,1708,13528,5
1121,1707,13528,2
1122,1702,13528,3
1123,1695,13528,3
1124,1694,13528,5
1125,1686,13528,3
1126,1685,13528,4
1127,1679,13528,3
1128,1672,13528,4
1129,1671,13528,4
1130,1670,13528,2
1131,1663,13528,5
1132,1657,13528,2
1133,1656,13528,4
1134,1654,13528,5
1135,1651,13528,4
1136,1649,13528,3
1137,1640,13528,5
1138,1635,13528,4
1139,1627,13528,3
1140,1625,13528,3
1141,1619,13528,4
1142,1618,13528,3
1143,1615,13528,4
1144,1610,13528,5
1145,1608,13528,3
1146,1590,13528,3
1147,1583,13528,3
1148,1582,13528,3
1149,1575,13528,4
1150,1571,13528,4
1151,1570,13528,5
1152,1568,13528,5
1153,1566,13528,3
1154,1563,13528,4
1155,1560,13528,4
1156,1558,13528,4
1157,1556,13528,4
1158,1555,13528,4
1159,1552,13528,1
1160,1548,13528,4
1161,1541,13528,3
1162,1539,13528,5
1163,1535,13528,5
1164,1529,13528,4
1165,1526,13528,5
1166,1525,13528,3
1167,1521,13528,4
1168,1513,13528,4
1169,1512,13528,5
1170,1510,13528,5
1171,1509,13528,4
1172,1507,13528,5
1173,1504,13528,4
1174,1502,13528,5
1175,1497,13528,5
1176,1496,13528,5
1177,1495,13528,4
1178,1493,13528,2
1179,1489,13528,4
1180,1481,13528,5
1181,1480,13528,3
1182,1478,13528,3
1183,1476,13528,4
1184,1474,13528,4
1185,1469,13528,3
1186,1466,13528,5
1187,1463,13528,4
1188,1462,13528,4
1189,1461,13528,2
1190,1455,13528,4
1191,1448,13528,5
1192,1444,13528,5
1193,1443,13528,2
1194,1439,13528,3
1195,1427,13528,3
1196,1423,13528,4
1197,1422,13528,4
