,Unnamed: 0,userId,movieId,rating
1032,1032,5994,20208,5
1033,1033,5993,20208,3
1034,1034,5988,20208,4
1035,1035,5986,20208,3
1036,1036,5984,20208,5
1037,1037,5981,20208,3
1038,1038,5980,20208,5
1039,1039,5979,20208,4
1040,1040,5978,20208,4
1041,1041,5977,20208,2
1042,1042,5975,20208,4
1043,1043,5953,20208,4
1044,1044,5950,20208,3
1045,1045,5943,20208,3
1046,1046,5941,20208,4
1047,1047,5937,20208,5
1048,1048,5935,20208,5
1049,1049,5932,20208,4
1050,1050,5931,20208,3
1051,1051,5928,20208,3
1052,1052,5927,20208,5
1053,1053,5920,20208,5
1054,1054,5918,20208,4
1055,1055,5910,20208,5
1056,1056,5906,20208,4
1057,1057,5903,20208,4
1058,1058,5902,20208,4
1059,1059,5901,20208,5
1060,1060,5898,20208,4
1061,1061,5883,20208,5
1062,1062,5881,20208,4
1063,1063,5880,20208,4
1064,1064,5875,20208,5
1065,1065,5872,20208,3
1066,1066,5868,20208,5
1067,1067,5867,20208,3
1068,1068,5866,20208,3
1069,1069,5865,20208,5
1070,1070,5862,20208,5
1071,1071,5854,20208,4
1072,1072,5849,20208,5
1073,1073,5847,20208,1
1074,1074,5845,20208,2
1075,1075,5844,20208,4
1076,1076,5843,20208,4
1077,1077,5841,20208,5
1078,1078,5840,20208,4
1079,1079,5838,20208,4
1080,1080,5836,20208,5
1081,1081,5833,20208,4
1082,1082,5829,20208,4
1083,1083,5824,20208,0
1084,1084,5821,20208,4
1085,1085,5819,20208,5
1086,1086,5818,20208,4
1087,1087,5816,20208,5
1088,1088,5815,20208,5
1089,1089,5813,20208,3
1090,1090,5806,20208,3
1091,1091,5805,20208,5
1092,1092,5802,20208,3
1093,1093,5801,20208,3
1094,1094,5782,20208,5
1095,1095,5779,20208,3
1096,1096,5778,20208,5
1097,1097,5769,20208,4
1098,1098,5768,20208,4
1099,1099,5765,20208,3
1100,1100,5762,20208,5
1101,1101,5760,20208,5
1102,1102,5759,20208,3
1103,1103,5758,20208,2
1104,1104,5756,20208,4
1105,1105,5751,20208,3
1106,1106,5745,20208,4
1107,1107,5742,20208,5
1108,1108,5738,20208,5
1109,1109,5737,20208,3
1110,1110,5730,20208,4
1111,1111,5729,20208,4
1112,1112,5728,20208,4
1113,1113,5725,20208,4
1114,1114,5724,20208,4
1115,1115,5723,20208,4
1116,1116,5722,20208,5
1117,1117,5721,20208,3
1118,1118,5718,20208,0
1119,1119,5717,20208,5
1120,1120,5707,20208,5
1121,1121,5706,20208,2
1122,1122,5701,20208,3
1123,1123,5694,20208,3
1124,1124,5693,20208,5
1125,1125,5685,20208,3
1126,1126,5684,20208,4
1127,1127,5678,20208,3
1128,1128,5671,20208,4
1129,1129,5670,20208,4
1130,1130,5669,20208,2
1131,1131,5662,20208,5
1132,1132,5656,20208,2
1133,1133,5655,20208,4
1134,1134,5653,20208,5
1135,1135,5650,20208,4
1136,1136,5648,20208,3
1137,1137,5639,20208,5
1138,1138,5634,20208,4
1139,1139,5626,20208,3
1140,1140,5624,20208,3
1141,1141,5618,20208,4
1142,1142,5617,20208,3
1143,1143,5614,20208,4
1144,1144,5609,20208,5
1145,1145,5607,20208,3
1146,1146,5589,20208,3
1147,1147,5582,20208,3
1148,1148,5581,20208,3
1149,1149,5574,20208,4
